age,sex,education,point
24,female,other,-1
23,male,other,1
24,male,other,2
21,female,language,3
22,male,other,3
18,female,other,3
25,male,other,3
23,male,language,3
23,female,other,3
23,male,other,3
17,female,language,4
23,female,other,4
22,female,language,4
24,male,other,4
16,female,other,4
17,female,language,4
23,female,other,4
23,female,language,5
22,male,other,5
27,female,language,5
23,male,other,5
21,male,other,5
23,female,language,5
24,female,language,5
31,male,other,5
22,male,other,6
26,female,other,6
22,female,language,6
21,female,language,6
22,female,language,6
24,female,other,6
23,female,language,6
23,female,language,6
23,female,other,6
31,female,other,6
28,male,other,6
44,male,other,6
21,female,language,6
29,female,other,6
25,female,other,6
22,female,other,6
25,male,other,6
23,male,other,6
22,male,language,7
25,female,language,7
23,female,other,7
23,female,art,7
24,male,other,7
23,female,other,7
18,female,other,7
22,male,other,7
21,female,other,7
23,male,other,7
24,male,other,7
31,male,other,7
29,male,other,8
23,female,art,8
17,female,other,8
21,female,other,8
20,female,other,8
30,male,language,8
23,male,other,8
28,female,other,8
22,female,other,8
37,female,other,8
21,female,language,8
28,female,other,8
22,male,other,8
16,female,other,8
25,male,other,8
13,female,other,8
22,male,other,8
25,female,other,8
22,female,language,"8,5"
22,female,language,9
22,female,other,9
23,male,other,9
19,female,language,9
22,female,other,9
22,female,other,9
22,female,other,9
22,female,other,9
22,female,language,9
25,female,other,9
23,female,other,9
22,female,language,9
27,male,other,9
23,female,other,9
29,female,other,9
23,female,language,9
23,female,language,9
23,female,other,9
23,male,other,9
18,male,other,9
22,female,language,9
28,male,other,9
25,female,other,9
22,female,language,10
22,male,other,10
20,female,language,10
24,female,other,10
23,male,other,10
22,female,other,10
21,female,other,10
23,female,other,10
21,female,other,10
28,female,language,10
25,female,other,10
21,male,other,10
23,male,other,10
22,male,other,10
22,male,other,10
28,female,other,10
23,female,other,10
23,male,other,10
22,female,other,11
23,male,other,11
20,female,language,11
21,female,language,11
27,male,other,11
22,female,other,11
18,female,other,11
19,female,language,11
20,female,language,11
28,female,other,11
22,female,language,11
41,female,art,11
22,female,other,12
23,female,other,12
29,male,art,12
30,female,language,12
24,female,art,12
24,female,other,12
22,female,language,12
46,female,other,12
20,female,other,12
29,male,other,12
26,male,other,12
21,male,language,13
21,female,language,13
23,female,other,13
22,female,language,13
22,female,other,13
30,female,other,13
24,female,other,13
23,female,language,13
26,male,other,13
16,female,other,13
23,female,other,13
52,male,other,13
34,male,other,13
22,female,other,13
18,female,other,14
23,female,other,14
24,female,other,14
21,female,art,14
18,female,other,14
54,female,other,14
23,female,other,14
16,male,other,14
16,female,other,14
31,male,language,14
22,female,other,15
23,female,language,15
23,female,language,15
22,male,language,15
53,female,other,15
24,female,language,15
27,male,other,15
21,female,other,15
24,female,other,15
51,female,other,15
18,female,other,15
23,female,art,15
18,female,other,15
23,female,language,"15,5"
22,female,art,16
18,female,other,16
23,female,other,16
22,female,other,16
23,female,art,16
28,female,art,16
23,female,other,17
23,female,language,17
53,female,other,17
43,female,other,17
22,female,other,17
25,male,art,18
23,female,other,18
26,female,other,18
34,male,other,18
23,female,other,18
23,female,other,19
33,female,language,19
22,female,art,20
23,male,other,20
22,female,language,20
24,female,art,20
16,female,other,21
23,female,language,22
23,female,art,22
18,male,language,23
21,female,other,24
17,male,other,24
22,female,other,24
14,female,other,24
23,female,art,24
24,female,language,24
20,female,other,25
17,female,other,26
23,female,other,26
19,female,language,28
23,female,other,29
25,male,other,30
24,female,other,30
25,female,other,30